Time,Bank_00,Chan_00,Totl_00,Bank_01,Chan_01,Totl_01,Bank_10,Chan_10,Totl_10,Bank_11,Chan_11,Totl_11
31-May-1932,5587720,271937412,277525132,146324,8252461,8398785,5724120,75935331,81659451,8949,8664555,8673504
30-Jun-1932,6969125,280214086,287183212,93368,6695269,6788637,4719533,78535510,83255043,8949,6190852,6199801
31-Jul-1932,8016284,280191791,288208075,0,6476583,6476583,4664919,79213058,83877976,155564,6488280,6643845
31-Aug-1932,7054508,270158312,277212819,93368,7682584,7775951,4561375,80521574,85082949,8949,7219268,7228218
30-Sep-1932,5202629,245549896,250752525,6722,9672254,9678975,3989428,75686864,79676291,533710,7799047,8332757
31-Oct-1932,5106838,237958020,243064858,6722,10852295,10859017,4042683,76716466,80759149,533710,8418096,8951805
30-Nov-1932,5132987,237955328,243088316,6722,10865391,10872113,4137422,76764225,80901647,533710,8768668,9302378
31-Dec-1932,5334106,267404523,272738629,0,9777199,9777199,5605566,73686117,79291683,8727,6747760,6756487
31-Jan-1933,8206531,309607176,317813707,202798,4721462,4924260,5649927,70313487,75963414,9752,4465522,4475274
28-Feb-1933,5846914,286436657,292283571,29336,6721646,6750982,6090192,72511297,78601488,9369,6314665,6324034
31-Mar-1933,15180095,342770466,357950561,1507429,4738291,6245720,15170027,62878921,78048948,1433776,4004537,5438313
30-Apr-1933,5591218,273915519,279506737,0,5939749,5939749,4649546,72533811,77183357,542437,6365992,6908429
31-May-1933,11567543,320223356,331790899,1641885,4906731,6548616,5951910,66382933,72334843,857821,4548412,5406233
30-Jun-1933,7671699,292247677,299919375,535295,4866019,5401315,5443762,76022926,81466688,181311,6056910,6238221
31-Jul-1933,7784733,282820379,290605112,0,6220449,6220449,5094679,78758693,83853372,155774,6387833,6543608
31-Aug-1933,7054508,269087494,276142001,93368,7917215,8010582,4559849,80823435,85383285,8949,7311773,7320722
30-Sep-1933,5106838,236664086,241770924,6722,11102102,11108824,4041158,77254778,81295935,533710,8484817,9018526
31-Oct-1933,5987834,272859004,278846838,91713,7977406,8069119,5629496,75378404,81007900,9159,8881914,8891073
30-Nov-1933,5405752,268133740,273539493,57276,7922750,7980026,5709882,75649557,81359439,8727,9294901,9303628
31-Dec-1933,13212848,326709795,339922643,2162664,4932890,7095554,6804626,66014873,72819499,182224,3768403,3950627
31-Jan-1934,15837440,336092988,351930429,1841783,4598441,6440224,9377122,64728440,74105562,831659,3669195,4500853
28-Feb-1934,15012415,339356943,354369358,1642437,4582935,6225373,14230855,66036832,80267686,1110047,3416164,4526211
31-Mar-1934,5843449,296050980,301894429,63774,6508797,6572570,6333371,68487509,74820880,9369,6211815,6221184
30-Apr-1934,5370283,270246138,275616421,0,9180075,9180075,5611609,73691192,79302801,8727,6553335,6562062
31-May-1934,8348102,312227367,320575468,551129,4174280,4725409,6528227,68770646,75298873,229023,4627882,4856904
30-Jun-1934,8300174,308301367,316601541,551129,4422216,4973345,6434451,70313633,76748084,228838,4695850,4924688
31-Jul-1934,7429427,279248884,286678311,120869,6897437,7018305,4630249,79350628,83980877,9159,6048951,6058110
31-Aug-1934,6635470,267162368,273797838,171469,8534420,8705889,4612082,79740864,84352946,8727,7791351,7800078
30-Sep-1934,5106838,236664086,241770924,6722,11102102,11108824,4041158,77254778,81295935,533710,8484817,9018526
31-Oct-1934,5662715,269562556,275225271,57276,7747592,7804868,5614664,75650534,81265198,8949,9253029,9261979
30-Nov-1934,8721165,309424658,318145823,0,4949136,4949136,5640080,70312754,75952834,156342,4357617,4513958
31-Dec-1934,5947979,279589981,285537961,29336,7231445,7260781,5707460,74034908,79742368,9159,7127776,7136935
31-Jan-1935,25627849,378750344,404378193,1205727,4373911,5579638,33786244,57592429,91378674,2207242,2726274,4933516
28-Feb-1935,15675712,329823298,345499010,1825950,4945734,6771684,8738093,65593351,74331444,784181,3829028,4613209
31-Mar-1935,15181590,344080025,359261616,1642437,5707736,7350173,15983159,64702799,80685958,1110047,2678829,3788876
30-Apr-1935,76551472,399702216,476253688,2231539,5031411,7262950,106549568,57253761,163803329,2401985,2556493,4958479
31-May-1935,5643984,279751640,285395624,175789,7190313,7366102,5815777,75364887,81180664,8949,7867908,7876858
30-Jun-1935,8030128,286075011,294105139,1864,5961157,5963021,4729676,78037179,82766855,155564,5839783,5995348
31-Jul-1935,7886504,304007235,311893740,543405,4593775,5137180,5801846,72584176,78386021,206062,4581384,4787447
31-Aug-1935,7431757,283848497,291280254,120869,6544580,6665448,4707973,78328765,83036739,9159,5610130,5619290
30-Sep-1935,5202358,247847733,253050090,6722,9463271,9469992,3995987,75198648,79194635,533710,7652838,8186547
31-Oct-1935,5143195,251561110,256704305,8106,9287638,9295744,4281603,73426081,77707684,533710,8069174,8602883
30-Nov-1935,5134636,256468636,261603272,8106,11721182,11729288,5534019,74363334,79897353,0,7362815,7362815
31-Dec-1935,5825990,274436596,280262586,0,8700588,8700588,5579321,73327551,78906872,8949,6351468,6360417
31-Jan-1936,52435416,410926135,463361551,3842545,4748051,8590595,73838883,56228829,130067712,599472,2735689,3335161
29-Feb-1936,242725369,474027778,716753147,14013791,6076973,20090764,216462401,52814551,269276951,12725897,2445478,15171375
31-Mar-1936,6069756,307497062,313566818,122752,5574765,5697517,6569299,67227743,73797042,9567,6317411,6326977
30-Apr-1936,5889145,296792893,302682038,121178,6123194,6244372,6257436,70085098,76342534,9567,7252607,7262174
31-May-1936,7478062,284511394,291989456,120869,6613224,6734092,4658004,77558751,82216756,9159,6059895,6069054
30-Jun-1936,7362918,281731910,289094828,120869,6632703,6753572,4681893,78575192,83257085,8949,6049290,6058240
31-Jul-1936,12165871,342906555,355072425,2979716,4481650,7461366,9249898,59957458,69207356,350509,3046811,3397320
31-Aug-1936,7736442,287233204,294969645,0,5868243,5868243,5117232,77410783,82528015,155774,5867221,6022995
30-Sep-1936,6041677,285433127,291474804,118234,6217909,6336143,5753637,74807684,80561321,9159,7375512,7384671
31-Oct-1936,5106154,240877013,245983167,6722,10501771,10508493,4048875,75859899,79908774,533710,7998385,8532095
30-Nov-1936,5988184,277085810,283073994,116859,7368176,7485035,5685057,75990117,81675173,9159,7832679,7841838
31-Dec-1936,5862182,276144192,282006374,29336,7688561,7717898,5634573,73885124,79519697,8949,7601157,7610106
31-Jan-1937,5930022,282651932,288581954,887,8011836,8012723,5702262,72190494,77892756,8949,5469795,5478745
28-Feb-1937,18854376,368337965,387192342,1693743,4381152,6074895,26138660,58406872,84545532,2153255,2416946,4570201
31-Mar-1937,28900759,379439336,408340095,1214093,4458008,5672102,28852248,56854327,85706575,2228934,2893976,5122910
30-Apr-1937,14780560,337443019,352223579,2119144,5216815,7335959,12920459,64213649,77134108,507930,3759792,4267721
31-May-1937,7336221,284806121,292142342,228436,6887737,7116173,4564204,76605862,81170067,9159,6435603,6444763
30-Jun-1937,8348735,312786468,321135203,551129,4111262,4662391,6528718,68619635,75148353,229023,4694343,4923366
31-Jul-1937,17177043,355676321,372853364,2753657,5495492,8249150,12959676,56764173,69723849,1307921,3373074,4680994
31-Aug-1937,7686770,296651689,304338459,535295,4667351,5202647,5656138,75011804,80667941,181508,5429265,5610773
30-Sep-1937,5627204,270848800,276476004,29336,8115251,8144587,5570210,75382959,80953169,8949,7648222,7657172
31-Oct-1937,5370904,268065811,273436715,29336,8501915,8531252,5584677,75449191,81033868,8727,7723800,7732527
30-Nov-1937,29986126,382083660,412069786,1745535,4045223,5790758,41661175,57960103,99621279,2224480,2799890,5024370
31-Dec-1937,260760612,503368464,764129076,41861253,5457674,47318927,297742873,60774411,358517284,18519812,3123748,21643560
31-Jan-1938,16626243,359276400,375902643,2095037,4394948,6489985,19161613,59490210,78651823,2669252,3416016,6085267
28-Feb-1938,751443616,602228279,1353671895,223381098,6686135,230067233,428359231,55622251,483981481,131146396,1455210,132601606
31-Mar-1938,854433005,621584802,1476017807,297753757,5233409,302987165,515234688,52428807,567663495,153299154,2087152,155386306
30-Apr-1938,97259601,430707382,527966982,5568863,4598986,10167849,143881796,51410092,195291888,5482238,2235690,7717928
31-May-1938,13023010,329222969,342245979,1561674,5543421,7105095,8855111,62060832,70915943,456950,5525874,5982824
30-Jun-1938,7806832,295410472,303217304,0,5448260,5448260,5203341,76365747,81569087,155774,5239531,5395305
31-Jul-1938,7670898,310498802,318169700,551129,4254462,4805591,6474796,70096415,76571211,228838,4372166,4601003
31-Aug-1938,8028488,304938587,312967075,543405,4548857,5092263,5876912,72441407,78318319,206248,4594386,4800634
30-Sep-1938,8636586,311797607,320434193,1072,4186021,4187094,5855932,71502788,77358720,156342,4376469,4532811
31-Oct-1938,8578027,307684308,316262335,1376,4840505,4841881,5786472,72084299,77870770,156342,4321910,4478252
30-Nov-1938,7101992,293581791,300683783,93368,4926857,5020224,5397778,76892010,82289788,9567,4757913,4767480
31-Dec-1938,11574655,316350454,327925109,1376,5159939,5161315,4935199,69025282,73960480,156515,3625981,3782496
31-Jan-1939,5875800,276729817,282605618,0,8678940,8678940,5590497,72552953,78143450,9159,6181686,6190845
28-Feb-1939,5692869,281669768,287362636,1864,7994406,7996270,5609863,72169422,77779285,8949,5544665,5553615
31-Mar-1939,5996304,279939735,285936040,0,8249675,8249675,5546581,72204890,77751472,9159,5974974,5984133
30-Apr-1939,14655647,333391496,348047143,1963739,4336588,6300327,7193877,62407322,69601199,229541,4073871,4303412
31-May-1939,9444907,315217502,324662409,552992,4195564,4748556,5951949,68389277,74341226,229196,4289536,4518732
30-Jun-1939,12168591,340455884,352624475,2979716,4463510,7443226,9198195,60292356,69490551,350509,3224686,3575195
31-Jul-1939,14196015,343109919,357305935,2690970,3934522,6625492,9283202,58536042,67819244,632004,3859604,4491608
31-Aug-1939,9853590,310822338,320675928,543405,4622490,5165895,5366172,70418357,75784529,206606,4264228,4470834
30-Sep-1939,5369371,268045477,273414848,29336,8443340,8472676,5586487,75514342,81100829,8727,7800495,7809222
31-Oct-1939,4978116,251087528,256065645,8106,9563983,9572088,4559694,74222478,78782172,533710,7931598,8465308
30-Nov-1939,7001942,282244558,289246500,171469,6637486,6808955,4981681,78042713,83024394,9369,6565338,6574707
31-Dec-1939,5834776,276875407,282710183,63774,7892318,7956092,5536077,74152875,79688953,9159,7477795,7486954
31-Jan-1940,45107740,398292349,443400089,2402636,5060635,7463271,59205644,57161105,116366749,1306498,2746247,4052745
29-Feb-1940,486481886,563473593,1049955479,73992929,7929173,81922101,419396225,60765343,480161568,51674640,2382813,54057453
31-Mar-1940,292120258,504758470,796878729,48375331,5282103,53657434,314271929,60685617,374957546,27748541,3191772,30940313
30-Apr-1940,32688834,363920246,396609080,2125873,3228869,5354742,36224719,63297563,99522282,4184787,4328028,8512815
31-May-1940,8555242,301710811,310266052,0,5018154,5018154,5641319,74257625,79898944,156157,4672422,4828579
30-Jun-1940,7940210,302657545,310597755,544293,4471253,5015546,5716015,72702950,78418965,206062,4747045,4953107
31-Jul-1940,21385288,365890101,387275389,3257848,5629996,8887844,15349216,53811752,69160968,1625744,2984458,4610202
31-Aug-1940,12053185,340453814,352506999,2850855,3817133,6667988,9131250,60388237,69519486,330865,3284181,3615046
30-Sep-1940,13484753,335112026,348596779,1966068,4172484,6138551,6654908,61568248,68223156,229541,3839448,4068989
