Time,Bank_00,Chan_00,Totl_00,Bank_01,Chan_01,Totl_01,Bank_10,Chan_10,Totl_10,Bank_11,Chan_11,Totl_11
31-Dec-1932,5334106,267404523,272738629,0,9777199,9777199,5605566,73686117,79291683,8727,6747760,6756487
31-Jan-1933,8206531,309607176,317813707,202798,4721462,4924260,5649927,70313487,75963414,9752,4465522,4475274
28-Feb-1933,5846914,286436657,292283571,29336,6721646,6750982,6090192,72511297,78601488,9369,6314665,6324034
31-Mar-1933,16096891,332401687,348498578,1834060,4452673,6286733,9892579,66320403,76212982,808908,3854521,4663429
30-Apr-1933,5591218,273915519,279506737,0,5939749,5939749,4649546,72533811,77183357,542437,6365992,6908429
31-May-1933,11567543,320223356,331790899,1641885,4906731,6548616,5951910,66382933,72334843,857821,4548412,5406233
30-Jun-1933,7671699,292247677,299919375,535295,4866019,5401315,5443762,76022926,81466688,181311,6056910,6238221
31-Jul-1933,7784320,282627812,290412131,0,6243636,6243636,5094323,78731070,83825393,155774,6378420,6534194
31-Aug-1933,7054508,269087494,276142001,93368,7917215,8010582,4559849,80823435,85383285,8949,7311773,7320722
30-Sep-1933,5106838,236664086,241770924,6722,11102102,11108824,4041158,77254778,81295935,533710,8484817,9018526
31-Oct-1933,5987834,272859004,278846838,91713,7977406,8069119,5629496,75378404,81007900,9159,8881914,8891073
30-Nov-1933,5405752,268133740,273539493,57276,7922750,7980026,5709882,75649557,81359439,8727,9294901,9303628
31-Dec-1933,13212848,326709795,339922643,2162664,4932890,7095554,6804626,66014873,72819499,182224,3768403,3950627
31-Jan-1934,15837440,336092988,351930429,1841783,4598441,6440224,9377122,64728440,74105562,831659,3669195,4500853
28-Feb-1934,15298187,342941530,358239716,1507429,4628652,6136082,15016139,64053133,79069272,1433616,3665178,5098793
31-Mar-1934,5843449,296050980,301894429,63774,6508797,6572570,6333371,68487509,74820880,9369,6211815,6221184
30-Apr-1934,5370283,270315861,275686144,0,9168609,9168609,5611609,73710637,79322246,8727,6576577,6585305
31-May-1934,8348102,312227367,320575468,551129,4174280,4725409,6528227,68770646,75298873,229023,4627882,4856904
30-Jun-1934,8300174,308301367,316601541,551129,4422216,4973345,6434451,70313633,76748084,228838,4695850,4924688
31-Jul-1934,7429427,279248884,286678311,120869,6897437,7018305,4630249,79350628,83980877,9159,6048951,6058110
31-Aug-1934,6635470,267162368,273797838,171469,8534420,8705889,4612082,79740864,84352946,8727,7791351,7800078
30-Sep-1934,5106838,236664086,241770924,6722,11102102,11108824,4041158,77254778,81295935,533710,8484817,9018526
31-Oct-1934,5662715,269562556,275225271,57276,7747592,7804868,5614664,75650534,81265198,8949,9253029,9261979
30-Nov-1934,8721165,309424658,318145823,0,4949136,4949136,5640080,70312754,75952834,156342,4357617,4513958
31-Dec-1934,5947979,279566945,285514925,29336,7230676,7260012,5707460,74057302,79764762,9159,7122831,7131990
31-Jan-1935,44099971,398071452,442171423,1667425,5152526,6819951,59701788,55856714,115558502,2185701,3015779,5201480
28-Feb-1935,15674800,330070143,345744943,1825950,4930319,6756269,8738093,65471963,74210056,784181,3888363,4672544
31-Mar-1935,19194271,359824495,379018766,2092710,4344872,6437582,21012842,60907766,81920609,2669103,3876927,6546031
30-Apr-1935,117640474,418070512,535710986,5867331,4945191,10812522,151885411,57416147,209301558,5102028,2269500,7371528
31-May-1935,7017001,285973600,292990601,228436,6833838,7062273,4642529,76068606,80711135,9159,6379997,6389156
30-Jun-1935,7927025,289393290,297320314,537159,5629626,6166786,4958622,76360662,81319285,181311,5823781,6005092
31-Jul-1935,7822536,300845892,308668428,543405,4857932,5401337,5730901,72992101,78723002,206062,4965761,5171824
31-Aug-1935,7406640,280671158,288077798,122732,7115491,7238224,4699505,78546758,83246262,9159,5955959,5965119
30-Sep-1935,5244353,248548985,253793338,6722,9400037,9406759,4000141,75099013,79099154,533710,7559955,8093665
31-Oct-1935,5228778,246525225,251754003,6722,9390975,9397697,4086076,75294650,79380726,533710,8087563,8621273
30-Nov-1935,5142043,244234817,249376861,6722,10149875,10156597,4176651,73987404,78164055,533710,8629435,9163145
31-Dec-1935,5825990,274436596,280262586,0,8700588,8700588,5579321,73327551,78906872,8949,6351468,6360417
31-Jan-1936,58319153,418123473,476442626,4010817,5722284,9733101,77342949,53596853,130939802,1312887,3007434,4320321
29-Feb-1936,209154906,468573292,677728198,12541864,6561788,19103652,220113504,51873298,271986802,12168745,2954453,15123198
31-Mar-1936,6063725,307278125,313341850,122254,5557201,5679455,6566613,67306444,73873057,9567,6334481,6344047
30-Apr-1936,5889145,296792893,302682038,121178,6123194,6244372,6257436,70085098,76342534,9567,7252607,7262174
31-May-1936,7482252,281828666,289310918,120869,6781366,6902235,4690084,78877238,83567322,9159,5961962,5971122
30-Jun-1936,8063628,284539993,292603621,0,6079632,6079632,4679442,78484443,83163885,155564,6152640,6308204
31-Jul-1936,11831112,336544407,348375520,2635209,3965733,6600942,8459639,61630528,70090166,330705,3470905,3801610
31-Aug-1936,7736442,287233204,294969645,0,5868243,5868243,5117232,77410783,82528015,155774,5867221,6022995
30-Sep-1936,7036984,288387334,295424318,173333,6027721,6201054,5044126,76920489,81964614,9369,5961459,5970828
31-Oct-1936,5115895,241470638,246586532,6722,10493368,10500090,4076875,75119045,79195920,533710,8568164,9101874
30-Nov-1936,5987834,276432396,282420230,116859,7402837,7519695,5683169,76062339,81745508,9159,7969663,7978823
31-Dec-1936,5861852,276057385,281919237,29336,7672307,7701643,5634288,73884972,79519260,8949,7617032,7625982
31-Jan-1937,5930022,282651932,288581954,887,8011836,8012723,5702262,72190494,77892756,8949,5469795,5478745
28-Feb-1937,26373726,379005033,405378759,1945944,4106753,6052697,30875244,56344675,87219919,2193033,2528006,4721040
31-Mar-1937,53997643,401738051,455735694,2130945,4884405,7015350,71911815,56862430,128774245,1598981,2527569,4126551
30-Apr-1937,14780560,337443019,352223579,2119144,5216815,7335959,12920459,64213649,77134108,507930,3759792,4267721
31-May-1937,8026437,291193007,299219444,0,6012140,6012140,4788060,76349817,81137877,155774,5472023,5627797
30-Jun-1937,8295669,308488196,316783865,551129,4385175,4936304,6431751,70179583,76611334,228838,4800594,5029431
31-Jul-1937,17237115,355248352,372485466,2753657,5508577,8262234,12893247,56884683,69777930,1307921,3420504,4728425
31-Aug-1937,7686770,296651689,304338459,535295,4667351,5202647,5656138,75011804,80667941,181508,5429265,5610773
30-Sep-1937,5003110,258440397,263443507,8106,11715680,11723786,5602852,74225887,79828738,0,7347972,7347972
31-Oct-1937,5368690,266342136,271710825,29336,8578609,8607946,5581253,75727630,81308884,8727,7948197,7956924
30-Nov-1937,39805442,393723792,433529234,1271205,5399376,6670581,53199987,57610960,110810948,2378304,2742652,5120956
31-Dec-1937,283289494,513864838,797154332,44074497,7053737,51128234,306480059,57991589,364471648,22508664,3150228,25658892
31-Jan-1938,16989515,365992014,382981529,1678098,4452377,6130475,23903791,58253987,82157778,2131316,2866175,4997490
28-Feb-1938,781590533,604347020,1385937553,219341150,6552837,225893987,430514569,55098912,485613480,129513613,1244556,130758170
31-Mar-1938,849491246,622115250,1471606496,324649260,5221699,329870960,506030807,52011061,558041868,154259762,2076248,156336010
30-Apr-1938,142402279,445505673,587907952,8675975,4980517,13656492,185608756,52522103,238130859,7994072,2247284,10241356
31-May-1938,13023010,329222969,342245979,1561674,5543421,7105095,8855111,62060832,70915943,456950,5525874,5982824
30-Jun-1938,7821660,303158198,310979858,536368,3926419,4462786,5569922,75211397,80781319,181508,4501809,4683317
31-Jul-1938,7670898,310498802,318169700,551129,4254462,4805591,6474796,70096415,76571211,228838,4372166,4601003
31-Aug-1938,8028488,304938587,312967075,543405,4548857,5092263,5876912,72441407,78318319,206248,4594386,4800634
30-Sep-1938,7370585,304088538,311459123,120869,4506697,4627566,5600654,74326321,79926975,9752,4238167,4247919
31-Oct-1938,8578027,307684308,316262335,1376,4840505,4841881,5786472,72084299,77870770,156342,4321910,4478252
30-Nov-1938,7101992,293581791,300683783,93368,4926857,5020224,5397778,76892010,82289788,9567,4757913,4767480
31-Dec-1938,11574655,316350454,327925109,1376,5159939,5161315,4935199,69025282,73960480,156515,3625981,3782496
31-Jan-1939,5811219,295125207,300936426,146324,5425490,5571814,6503276,72273951,78777227,9567,6638706,6648273
28-Feb-1939,5690957,281481633,287172590,1864,8010030,8011893,5609650,72187632,77797282,8949,5503757,5512706
31-Mar-1939,5996304,279939735,285936040,0,8249675,8249675,5546581,72204890,77751472,9159,5974974,5984133
30-Apr-1939,13485266,331319844,344805111,552016,4617805,5169822,6307914,62054068,68361982,229541,4314883,4544424
31-May-1939,11588353,328916678,340505031,3223176,3617608,6840784,6901431,64017310,70918742,884975,3943223,4828198
30-Jun-1939,11953609,339283490,351237099,2979716,4417890,7397606,9039535,60301815,69341350,350348,3292078,3642426
31-Jul-1939,11880450,333153064,345033514,2636097,4078683,6714779,8345984,61956686,70302671,330705,3801708,4132412
31-Aug-1939,7754494,294810311,302564804,535295,4335283,4870579,5590959,75732385,81323344,181693,5759813,5941506
30-Sep-1939,5345902,263412528,268758430,29336,9106437,9135774,5575682,76053385,81629067,8727,8208288,8217015
31-Oct-1939,5237834,247174145,252411979,6722,9472363,9479084,4117217,74733535,78850752,533710,8461079,8994789
30-Nov-1939,6949343,280318324,287267667,171469,6716565,6888034,4921639,78076714,82998353,9369,6753559,6762928
31-Dec-1939,5834776,276488409,282323185,63774,7961615,8025389,5534541,74222936,79757477,9159,7497123,7506283
31-Jan-1940,63415306,418401507,481816812,3767199,5931685,9698884,107971106,53767687,161738793,1179283,2309545,3488828
29-Feb-1940,477941509,558273152,1036214661,74511263,7738443,82249706,393332852,60637362,453970214,43323098,2046212,45369309
31-Mar-1940,334850292,520031215,854881507,62579009,7094590,69673599,335374280,56544539,391918819,38124618,2801598,40926215
30-Apr-1940,64345785,391599946,455945730,5206822,4366438,9573260,64168706,58191606,122360311,5395908,2821184,8217092
31-May-1940,7800633,294170489,301971122,0,4751799,4751799,5401789,76683375,82085163,155774,5578862,5734636
30-Jun-1940,8101230,305230561,313331791,544293,4540120,5084412,5790416,72443376,78233792,206248,4421836,4628083
31-Jul-1940,21340846,365393443,386734288,3255704,5580332,8836036,15378494,53748524,69127018,1625744,3067643,4693387
31-Aug-1940,12053185,340453814,352506999,2850855,3817133,6667988,9131250,60388237,69519486,330865,3284181,3615046
30-Sep-1940,13454624,330029700,343484325,546622,4654782,5201404,5425685,63819266,69244952,206778,3619711,3826489
31-Oct-1940,7101668,291780564,298882232,93368,5143588,5236956,5394449,77271060,82665509,9567,4810166,4819733
30-Nov-1940,5608972,262985144,268594116,29336,9394574,9423910,5472569,74365110,79837679,8949,8563816,8572765
31-Dec-1940,79028092,436077259,515105352,3210003,4953686,8163688,103776875,52530663,156307539,1450208,2566901,4017109
31-Jan-1941,613872270,561339365,1175211634,165766135,7027272,172793407,324561646,57677245,382238890,82938039,1857873,84795912
28-Feb-1941,653964430,570033736,1223998166,182446664,6919109,189365773,341173488,58865088,400038576,87817333,1566209,89383542
31-Mar-1941,312259958,503615787,815875744,33990523,5273411,39263934,302192954,57248004,359440958,27837044,2252046,30089090
30-Apr-1941,370051073,501564576,871615649,56470630,6635976,63106606,284863976,54495274,339359250,32693982,2877683,35571665
31-May-1941,17117459,365954368,383071827,1933416,4620921,6554337,22030468,57014350,79044818,2181447,2767660,4949107
30-Jun-1941,7861922,291297686,299159608,535295,4654766,5190062,5114539,77619691,82734230,181311,5985341,6166651
31-Jul-1941,19011128,362608250,381619378,3330876,5486477,8817352,14398744,54675742,69074486,1324766,2914142,4238907
31-Aug-1941,7682894,308550430,316233324,551129,4364351,4915480,6546522,70428217,76974738,229023,4723842,4952865
30-Sep-1941,8030502,307432171,315462673,0,4179213,4179213,5791061,73694973,79486034,156342,4267957,4424299
31-Oct-1941,5987834,276849070,282836904,91713,7612283,7703996,5640338,74206931,79847268,9159,8593743,8602902
30-Nov-1941,8570065,303630904,312200969,0,4922984,4922984,5687971,73774472,79462444,156342,4504632,4660974
31-Dec-1941,256319045,500287560,756606606,41071958,5618293,46690251,285839028,60428712,346267741,17801198,3222172,21023370
31-Jan-1942,316187550,504373188,820560738,43310352,5655143,48965496,299945584,60002309,359947894,21120220,3175782,24296002
28-Feb-1942,685028760,576974954,1262003714,202269102,7215734,209484836,343053935,57195836,400249771,93910647,1599962,95510609
31-Mar-1942,10631769,323133162,333764930,109930,5989558,6099488,5577741,65896257,71473998,156515,4035398,4191913
30-Apr-1942,21700322,375093159,396793480,1202555,4121144,5323699,30344084,57995962,88340046,2196126,2505511,4701637
