Time,Chan90,Chan95,Bank90,Bank95,Totl90,Totl95
Aug-1937,4.46,8.67,0.31,0.62,4.77,9.29
Sep-1937,4.95,9.54,0.26,0.52,5.21,10.06
Oct-1937,4.98,9.6,0.26,0.52,5.24,10.12
Nov-1937,3.27,6.41,2.33,4.55,5.6,10.97
Dec-1937,3.51,6.88,18.37,35.87,21.88,42.75
Jan-1938,3.45,6.73,1.36,2.6,4.81,9.33
Feb-1938,3.1,6.13,48.58,91.06,51.67,97.18
Mar-1938,2.97,5.84,59.16,111.19,62.13,117.04
Apr-1938,2.91,5.73,7.71,15.17,10.62,20.89
May-1938,3.91,7.57,0.55,1.07,4.46,8.64
Jun-1938,4.53,8.82,0.26,0.52,4.8,9.34
Jul-1938,4.07,7.93,0.36,0.71,4.42,8.63
Aug-1938,4.22,8.22,0.33,0.64,4.55,8.87
Sep-1938,4.13,8.05,0.29,0.58,4.42,8.63
Oct-1938,4.18,8.15,0.29,0.57,4.47,8.73
Nov-1938,4.47,8.71,0.26,0.51,4.72,9.22
Dec-1938,3.95,7.74,0.25,0.5,4.2,8.23
Jan-1939,4.64,8.99,0.26,0.52,4.9,9.51
Feb-1939,4.5,8.74,0.26,0.52,4.76,9.26
Mar-1939,4.57,8.87,0.26,0.52,4.83,9.38
Apr-1939,3.67,7.15,0.46,0.9,4.13,8.06
May-1939,3.97,7.74,0.33,0.66,4.31,8.4
Jun-1939,3.46,6.77,0.61,1.21,4.07,7.98
Jul-1939,3.44,6.7,0.64,1.26,4.09,7.96
Aug-1939,4.08,7.97,0.3,0.6,4.39,8.56
Sep-1939,4.99,9.62,0.26,0.52,5.25,10.14
Oct-1939,5,9.63,0.29,0.55,5.29,10.18
Nov-1939,4.85,9.4,0.24,0.48,5.09,9.88
Dec-1939,4.86,9.36,0.26,0.52,5.12,9.89
Jan-1940,3.27,6.42,3.05,6.03,6.32,12.45
Feb-1940,3.52,6.94,30.14,57.87,33.66,64.81
Mar-1940,3.51,6.87,20.72,40.16,24.23,47.03
Apr-1940,3.7,7.19,2.37,4.54,6.06,11.73
May-1940,4.34,8.45,0.28,0.56,4.62,9.02
Jun-1940,4.25,8.28,0.32,0.63,4.57,8.91
Jul-1940,3.18,6.22,1.09,2.11,4.27,8.33
Aug-1940,3.44,6.73,0.6,1.19,4.04,7.92
Sep-1940,3.59,7,0.43,0.85,4.02,7.86
Oct-1940,4.5,8.78,0.26,0.51,4.76,9.29
Nov-1940,5.08,9.76,0.26,0.51,5.33,10.27
Dec-1940,2.98,5.82,4.33,8.61,7.31,14.44
Jan-1941,3.27,6.45,34.35,64.85,37.62,71.3
Feb-1941,3.28,6.48,35.05,66.02,38.33,72.5
Mar-1941,3.34,6.53,17.09,33.24,20.43,39.77
Apr-1941,3.27,6.4,19.97,38.5,23.23,44.9
May-1941,3.35,6.56,1.39,2.67,4.73,9.23
Jun-1941,4.68,9.08,0.26,0.51,4.94,9.6
Jul-1941,3.3,6.45,0.96,1.85,4.25,8.3
Aug-1941,4.13,8.05,0.36,0.71,4.5,8.76
Sep-1941,4.2,8.19,0.29,0.58,4.49,8.77
Oct-1941,4.95,9.54,0.27,0.54,5.22,10.08
Nov-1941,4.3,8.39,0.28,0.56,4.58,8.95
Dec-1941,3.4,6.69,11.6,22.78,15,29.47
Jan-1942,3.49,6.84,18.9,36.81,22.39,43.65
