Time,Chan90,Chan95,Bank90,Bank95,Totl90,Totl95
Apr-1942,2.43,4.78,0.03,0.06,2.47,4.84
May-1942,2.29,4.52,0.03,0.06,2.32,4.58
Jun-1942,2.38,4.65,0.03,0.06,2.41,4.71
Jul-1942,2.18,4.3,0.09,0.17,2.27,4.47
Aug-1942,2.37,4.67,0.03,0.06,2.4,4.73
Sep-1942,2.38,4.66,0.03,0.07,2.42,4.73
Oct-1942,2.39,4.67,0.03,0.06,2.42,4.73
Nov-1942,2.35,4.59,0.03,0.06,2.38,4.65
Dec-1942,2.32,4.54,0.02,0.04,2.34,4.58
Jan-1943,1.96,3.9,0.26,0.5,2.23,4.4
Feb-1943,2.24,4.43,0.06,0.12,2.3,4.54
Mar-1943,2.05,4.04,0.12,0.24,2.17,4.28
Apr-1943,2.34,4.55,0.03,0.06,2.37,4.62
May-1943,2.4,4.72,0.06,0.12,2.45,4.84
Jun-1943,2.45,4.81,0.06,0.12,2.5,4.93
Jul-1943,2.15,4.24,0.09,0.18,2.24,4.42
Aug-1943,2.37,4.68,0.04,0.09,2.42,4.77
Sep-1943,2.45,4.81,0.06,0.12,2.51,4.93
Oct-1943,2.39,4.67,0.03,0.06,2.42,4.73
Nov-1943,2.35,4.6,0.03,0.06,2.38,4.66
Dec-1943,2.39,4.66,0.03,0.06,2.42,4.72
Jan-1944,2.37,4.63,0.03,0.06,2.39,4.69
Feb-1944,2.33,4.57,0.03,0.06,2.36,4.63
Mar-1944,2.36,4.62,0.03,0.06,2.39,4.68
Apr-1944,2.36,4.61,0.03,0.06,2.39,4.67
May-1944,2.35,4.59,0.03,0.06,2.38,4.66
Jun-1944,2.46,4.83,0.06,0.12,2.52,4.94
Jul-1944,2.39,4.71,0.03,0.06,2.42,4.77
Aug-1944,2.46,4.84,0.06,0.12,2.51,4.95
Sep-1944,2.35,4.58,0.03,0.06,2.38,4.64
Oct-1944,2.47,4.81,0.03,0.06,2.5,4.87
Nov-1944,2.36,4.62,0.03,0.06,2.39,4.68
